trial_in_run,trial_global,val_rmse,best_iteration,best_score,param__n_estimators,param__learning_rate,param__max_depth,param__min_child_weight,param__subsample,param__colsample_bytree,param__reg_alpha,param__reg_lambda,param__gamma,param__objective,param__random_state,param__tree_method,param__n_jobs
16,16,385.7510172590239,1895,0.8824018712808116,5000,0.0264080755291022,3,0.7904742733024165,0.7451923068723734,0.9941285515775248,0.1823783335807071,1.5061721917225104,1.4717848631361077e-06,reg:squarederror,42,hist,8
17,17,348.074775455844,856,0.8662080232366361,5000,0.0547202914675989,4,0.7100268911177512,0.7943961853266455,0.6276850073873534,0.0700518303624229,17.007436688860963,1.4306163380277744e-07,reg:squarederror,42,hist,8
18,18,366.8124584398428,633,0.870891431448199,5000,0.0415294931075672,5,1.4800649720137051,0.9489732164341028,0.7692551760803548,8.057194525523433e-07,5.991867234883033,0.0371004879726254,reg:squarederror,42,hist,8
19,19,368.0424617765101,1193,0.8550610142634445,5000,0.0182685285032141,7,2.561171505887772,0.8686747838553133,0.7493682010117175,1.2488974008890656,3.998916051060295,1.7027485651691812e-06,reg:squarederror,42,hist,8
20,20,383.196591189253,3533,0.8822897638981355,5000,0.0121143359065351,3,5.559962823188681,0.6920458930386308,0.6880869537806238,4.354494778085529e-08,9.144835946631543,1.14941286648282e-06,reg:squarederror,42,hist,8
21,21,400.6220846316618,19,0.8887474686550412,5000,0.1506532814189932,8,0.6682901955196381,0.6952018537475981,0.8675911113185122,8.474835289430796e-07,0.9195888605247026,2.6280169696488085,reg:squarederror,42,hist,8
22,22,356.9379149244053,292,0.8685371609013943,5000,0.0553279008389137,10,1.3522464648290151,0.7891891771778374,0.7628239845943746,7.062072445734645e-08,10.39765739803176,1.5441095155327943e-05,reg:squarederror,42,hist,8
23,23,389.5163859524165,685,0.8898358500037977,5000,0.034265446271978,3,7.87615067929748,0.9936660845463864,0.6393671484607836,4.203311141164952e-05,2.385476898593495,0.5689221297915671,reg:squarederror,42,hist,8
24,24,360.2026382804641,1098,0.850275413428656,5000,0.0210624723961392,6,4.493318338853399,0.6560729188379097,0.6733952143148932,0.0001457647847389,28.050584321878148,4.7694027235377634e-08,reg:squarederror,42,hist,8
25,25,384.1427708904511,168,0.8922546320047109,5000,0.1125281496309088,4,0.6150688115977648,0.9997129873650906,0.9344110340319808,5.259764693987713,35.62082471981002,0.4347720427078919,reg:squarederror,42,hist,8
26,26,384.7695624431825,184,0.8600484746968882,5000,0.0164579501866019,10,3.5883771054947693,0.9458601576120862,0.9609771462042196,3.032034178895606e-07,0.5049876545524278,3.2643432437580135e-05,reg:squarederror,42,hist,8
27,27,372.8187569861169,55,0.884526866079646,5000,0.1604825458385141,10,1.6076306496106023,0.8786366014400651,0.8922021269661864,0.1122674236324124,10.536894415353547,0.0002399068811793,reg:squarederror,42,hist,8
28,28,365.8711891624104,1108,0.8706723828881965,5000,0.017662932995068,6,26.392575519434445,0.8316721163265025,0.8168780805497097,0.0539237446421686,0.650579763304375,0.0018096656799203,reg:squarederror,42,hist,8
29,29,366.94389270605456,327,0.874313627556104,5000,0.0451048695910975,5,0.6311179031697486,0.8031313987973674,0.9405370181376486,4.137061665105755e-08,0.6837411704637255,0.570653936837862,reg:squarederror,42,hist,8
30,30,347.5737654351617,1121,0.8501163849860902,5000,0.0335215509304023,6,5.350269398561426,0.6158966649156258,0.6327933621979501,0.008248186652322,6.751866582817443,7.036045087579012e-06,reg:squarederror,42,hist,8
31,31,351.65802973495965,492,0.8565181404981588,5000,0.0218405711731088,8,1.328586176470588,0.7583143387165018,0.8686760891839884,5.011569046449459e-06,2.1444918342435684,0.0584494503841487,reg:squarederror,42,hist,8
32,32,353.8357350653857,1179,0.847433191686229,5000,0.0124274140432395,10,6.360409992107347,0.8251974582555784,0.6399924995698354,0.0006897784736062,5.137352813754685,1.5563566773252205e-07,reg:squarederror,42,hist,8
33,33,354.8546085825638,1563,0.8621300927612322,5000,0.0284492592592802,4,18.29976385160711,0.7478108354955536,0.6630987329428928,0.3189367700865735,12.76585345061878,0.0031996309682,reg:squarederror,42,hist,8
34,34,376.02753625254513,276,0.8840112889435204,5000,0.1924951662907255,3,7.700728200402656,0.8218409129958711,0.972702415774431,8.556152513345224e-08,28.52488710684544,2.3999008159265344e-06,reg:squarederror,42,hist,8
