UBIGEO,NOMBDEP,Región,Cluster,baseline_pred_ha,scenario,scenario_pred_ha,delta_ha,pct_delta
120606,JUNIN,SELVA,5,2386.1600810877435,mild,2553.616385318606,167.45630423086232,0.07017815173344384
10611,AMAZONAS,SELVA,1,5.911002916202995,mild,5.337031954927863,-0.5739709612751325,-0.09710212791500866
120305,JUNIN,SELVA,1,123.93887186247528,mild,126.7274651083906,2.7885932459153224,0.02249974688336355
170101,MADRE DE DIOS,SELVA,5,2069.54806884867,mild,2058.507839873422,-11.040228975247828,-0.005334608623702914
220603,SAN MARTIN,SELVA,5,1600.4358475054696,mild,1598.4875012958796,-1.9483462095899995,-0.0012173847596745617
10518,AMAZONAS,SIERRA,1,60.14731901275091,mild,47.00866527728251,-13.138653735468402,-0.21844121984361559
10705,AMAZONAS,SELVA,1,76.42490437196983,mild,74.36276413851147,-2.062140233458365,-0.026982568711131954
60802,CAJAMARCA,SELVA,1,88.18140808742922,mild,91.70012593427731,3.518717846848091,0.03990317146398238
60811,CAJAMARCA,SELVA,1,118.37678321706218,mild,118.4114545321999,0.03467131513771449,0.000292889485551734
60904,CAJAMARCA,SELVA,1,130.7586590457692,mild,146.2372752041336,15.478616158364389,0.1183754580486057
210307,PUNO,SIERRA,1,18.25633246424826,mild,19.30808314894464,1.0517506846963798,0.057610184671869014
220707,SAN MARTIN,SELVA,1,36.66421759567655,mild,44.11735770928753,7.453140113610985,0.20328103536265998
211201,PUNO,SIERRA,1,21.005184312645483,mild,22.60557822086784,1.6003939082223582,0.07619042444006995
50408,AYACUCHO,SELVA,1,182.45691898878374,mild,166.2870036785838,-16.16991531019994,-0.08862319609372533
50502,AYACUCHO,SIERRA,1,100.06599080841612,mild,84.99481916354785,-15.071171644868272,-0.15061232615707734
50509,AYACUCHO,SELVA,1,42.939347242102876,mild,48.83126161928426,5.891914377181386,0.13721481008924719
211207,PUNO,SELVA,1,71.11923488312581,mild,73.7820629683483,2.662828085222486,0.03744174258340179
220104,SAN MARTIN,SELVA,4,242.6652238858326,mild,251.77392158320274,9.108697697370133,0.03753606533112271
50510,AYACUCHO,SIERRA,1,66.01835553675095,mild,43.175120880741154,-22.84323465600979,-0.3460133847668089
10605,AMAZONAS,SELVA,4,198.9253544055099,mild,211.98704176119378,13.061687355683887,0.06566124964170028
160113,LORETO,SELVA,2,973.9872115503608,mild,969.4440347998778,-4.543176750482985,-0.004664513760146097
160101,LORETO,SELVA,1,103.67509958469579,mild,104.07180908461791,0.39670949992212456,0.0038264684722876855
220305,SAN MARTIN,SELVA,1,10.964116732020575,mild,10.256708263486582,-0.707408468533993,-0.06452033354114288
220801,SAN MARTIN,SELVA,1,96.74384733879228,mild,96.86519635555388,0.1213490167615987,0.001254333170528564
220102,SAN MARTIN,SELVA,1,61.793470384056846,mild,61.94693203118036,0.15346164712351396,0.002483460569049188
220803,SAN MARTIN,SELVA,1,60.45916172038466,mild,66.89058839483177,6.43142667444711,0.10637637855767133
220504,SAN MARTIN,SELVA,2,1102.797918306004,mild,1171.2026915679266,68.40477326192263,0.06202838446321921
10706,AMAZONAS,SELVA,1,58.39351963977481,mild,63.750429437315674,5.356909797540865,0.09173808721562315
220510,SAN MARTIN,SELVA,4,147.14419817895435,mild,144.37799542236843,-2.766202756585926,-0.01879926487636105
220101,SAN MARTIN,SELVA,3,1977.0025400365366,mild,2008.3910714257956,31.388531389259015,0.015876829065014215
160701,LORETO,SELVA,4,601.5810800476462,mild,599.9434995249001,-1.6375805227461342,-0.0027221277015833595
80907,CUSCO,SELVA,4,206.9025606264323,mild,207.3697162700837,0.4671556436514095,0.0022578533694170688
