UBIGEO,NOMBDEP,Región,Cluster,baseline_pred_ha,scenario,scenario_pred_ha,delta_ha,pct_delta
220304,SAN MARTIN,SELVA,1,68.73862426480112,good,63.29814788607432,-5.4404763787268,-0.07914729799898972
210308,PUNO,SIERRA,1,11.597072324529314,good,11.292236404058826,-0.304835920470488,-0.026285592772041306
160206,LORETO,SELVA,4,567.92850067815,good,529.0706258060903,-38.85787487205971,-0.06842036422834993
160305,LORETO,SELVA,4,879.535262930347,good,881.3669673453912,1.8317044150442143,0.0020825821229060516
160205,LORETO,SELVA,4,723.7645916387808,good,729.7402319932712,5.9756403544904515,0.00825633144191281
10103,AMAZONAS,SIERRA,1,13.999306966518205,good,9.355287246474779,-4.644019720043426,-0.33173211582190554
220511,SAN MARTIN,SELVA,1,40.921750456705055,good,38.825688284321274,-2.096062172383782,-0.051221224629708885
190107,PASCO,SIERRA,1,45.7534686505122,good,40.27829900551265,-5.475169644999546,-0.11966676640019627
220303,SAN MARTIN,SELVA,2,602.0369626266266,good,595.8873494411157,-6.14961318551093,-0.010214677116635476
220507,SAN MARTIN,SELVA,1,10.31278340461013,good,10.0409052701012,-0.2718781345089294,-0.026363215811106004
60812,CAJAMARCA,SELVA,1,54.967209149011495,good,52.76293727383535,-2.204271875176147,-0.040101578910447334
10514,AMAZONAS,SIERRA,1,46.35889731862264,good,31.767169678382455,-14.591727640240183,-0.3147557099978433
250204,UCAYALI,SELVA,1,235.75904186999514,good,202.97043242583516,-32.78860944415999,-0.13907678443247426
10601,AMAZONAS,SELVA,1,19.71280159350258,good,19.831536763884394,0.11873517038181447,0.0060232519370027075
200301,PIURA,SIERRA,1,2.807611306916016,good,1.6304576454505477,-1.177153661465468,-0.4192723040279024
220704,SAN MARTIN,SELVA,1,18.518971879394943,good,17.51420163562559,-1.0047702437693538,-0.054256264889483805
220710,SAN MARTIN,SELVA,4,422.164487771587,good,413.9211779917027,-8.243309779884328,-0.019526298442100104
80404,CUSCO,SIERRA,1,4.217922691946842,good,2.5022256165483445,-1.7156970753984973,-0.4067635186093449
220702,SAN MARTIN,SELVA,1,69.52304131906197,good,73.53318688662864,4.010145567566667,0.05768081331716938
10515,AMAZONAS,SIERRA,1,15.654631579350342,good,16.118731005851267,0.4640994265009244,0.029646141727992313
10504,AMAZONAS,SIERRA,1,9.762651469887572,good,6.2910485338194615,-3.471602936068111,-0.355600417240757
10603,AMAZONAS,SELVA,1,99.13236855270873,good,100.00629853069645,0.8739299779877285,0.00881578833177036
100505,HUANUCO,SIERRA,1,48.43737751914176,good,36.7457619541537,-11.691615564988062,-0.24137589943567242
220909,SAN MARTIN,SELVA,1,63.74051918893409,good,59.823657736690436,-3.9168614522436513,-0.061450102730315585
220914,SAN MARTIN,SELVA,1,76.07309205379971,good,76.94283145486223,0.8697394010625175,0.011432943996116635
220509,SAN MARTIN,SELVA,1,7.686527001607221,good,8.153646606482944,0.4671196048757231,0.060771217583448334
160603,LORETO,SELVA,4,602.8221985528021,good,585.3492913349877,-17.472907217814395,-0.028985175495795743
190304,PASCO,SELVA,5,2176.4635015599706,good,2176.4635015599706,0.0,0.0
211204,PUNO,SIERRA,1,6.972775204668839,good,5.76341615311966,-1.2093590515491783,-0.17344013194910032
50409,AYACUCHO,SIERRA,1,130.97043181834803,good,115.29840042636998,-15.672031391978052,-0.1196608362238179
100801,HUANUCO,SIERRA,1,158.03149864609037,good,125.24577596512894,-32.78572268096143,-0.20746321437085563
100804,HUANUCO,SIERRA,1,1.9769441510137553,good,1.9260257849056037,-0.05091836610815159,-0.02575609740014214
10501,AMAZONAS,SIERRA,1,1.507872504225905,good,0.6296615022103669,-0.878211002015538,-0.5824172796800114
80901,CUSCO,SELVA,1,19.85392343162796,good,19.382896069676256,-0.4710273619517018,-0.023724648862165933
120706,JUNIN,SIERRA,1,4.737981570945934,good,4.491863176238336,-0.24611839470759733,-0.05194583200087459
170302,MADRE DE DIOS,SELVA,5,2699.9673892918536,good,2675.20921706614,-24.75817222571368,-0.009169804170193049
80914,CUSCO,SELVA,2,1074.847549436707,good,1118.5470623489946,43.69951291228767,0.04065647536265881
120306,JUNIN,SELVA,1,80.70960337327074,good,94.07010282242999,13.36049944915925,0.16553791482989688
120606,JUNIN,SELVA,5,2214.864169982926,good,2231.7259298156728,16.861759832746884,0.007612999506365607
